recipe_id,layout_id,party_seed,simulation_seed,result,current_round,player_casualties,player_initial_distinct_targets,enemy_initial_distinct_targets,player_initial_actor_target_pairs,enemy_initial_actor_target_pairs,party_brain_id,manual_operation,timed_out
N1,open,20260804,101,timeout,1,0,0,0,0,0,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N1,open,20260804,202,timeout,1,0,0,0,0,0,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N1,open,20260804,303,timeout,1,0,0,0,0,0,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N2,open,20260804,101,timeout,1,0,0,1,0,1,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N2,open,20260804,202,timeout,1,0,0,1,0,1,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N2,open,20260804,303,timeout,1,0,0,1,0,1,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N3,center_blocker,20260804,101,timeout,1,0,0,1,0,1,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N3,center_blocker,20260804,202,timeout,1,0,0,1,0,1,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N3,center_blocker,20260804,303,timeout,1,0,0,1,0,1,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N4,split_flank,20260804,101,timeout,1,0,0,0,0,0,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N4,split_flank,20260804,202,timeout,1,0,0,0,0,0,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N4,split_flank,20260804,303,timeout,1,0,0,0,0,0,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N5,center_blocker,20260804,101,timeout,1,0,0,0,0,0,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N5,center_blocker,20260804,202,timeout,1,0,0,0,0,0,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N5,center_blocker,20260804,303,timeout,1,0,0,0,0,0,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N6,split_flank,20260804,101,timeout,1,0,0,0,0,0,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N6,split_flank,20260804,202,timeout,1,0,0,0,0,0,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
N6,split_flank,20260804,303,timeout,1,0,0,0,0,0,Mage=AOEBrain;Necromancer=SupportBrain;Amazon=RangedBrain,false,true
